Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Frutas e derivados;177;Banana, figo, crua;70,1;105;440;1,1;0,1;NA;27,8;2,8;0,8;6;30;177;0,21;16;0,2;Tr;387;0,06;0,1;NA;;;0,09;Tr;0,03;Tr;17,5
Frutas e derivados;178;Banana, maçã, crua;75,2;87;363;1,8;0,1;NA;22,3;2,6;0,6;3;24;178;0,60;29;0,2;Tr;264;0,11;0,1;NA;6;3;Tr;Tr;0,14;Tr;10,5
Frutas e derivados;179;Banana, nanica, crua;73,8;92;383;1,4;0,1;NA;23,8;1,9;0,8;3;28;179;0,14;27;0,3;Tr;376;0,10;0,2;NA;14;7;Tr;0,02;0,14;Tr;5,9
Frutas e derivados;180;Banana, ouro, crua;68,2;112;470;1,5;0,2;NA;29,3;2,0;0,8;3;28;180;0,09;22;0,3;Tr;355;0,08;0,3;NA;50;25;Tr;Tr;0,14;Tr;7,6
Frutas e derivados;181;Banana, pacova, crua;77,7;78;326;1,2;0,1;NA;20,3;2,0;0,7;5;30;181;0,41;20;0,4;1;267;0,06;0,1;NA;;;0,05;0,03;0,17;Tr;Tr
Frutas e derivados;182;Banana, prata, crua;71,9;98;411;1,3;0,1;NA;26,0;2,0;0,8;8;26;182;0,42;22;0,4;Tr;358;0,05;0,1;NA;32;16;Tr;0,02;0,10;Tr;21,6
Frutas e derivados;183;Cacau, cru;79,2;74;311;1,0;0,1;NA;19,4;2,2;0,3;12;25;183;0,04;9;0,3;1;72;0,15;0,6;NA;;;0,25;Tr;0,04;Tr;13,6
Frutas e derivados;184;Cajá-Manga, cru;86,9;46;191;1,3;Tr;NA;11,4;2,6;0,4;13;11;184;0,05;24;0,2;1;119;0,02;0,2;NA;;;0,11;Tr;0,05;Tr;26,7
Frutas e derivados;185;Cajá, polpa, congelada;92,4;26;110;0,6;0,2;NA;6,4;1,4;0,4;9;7;185;0,07;26;0,3;7;148;0,10;0,1;NA;106;53;0,04;Tr;Tr;Tr;Tr
Frutas e derivados;186;Caju, cru;88,1;43;180;1,0;0,3;NA;10,3;1,7;0,3;1;10;186;0,12;16;0,2;3;124;0,07;0,1;NA;15;7;Tr;Tr;Tr;Tr;219,3
Frutas e derivados;187;Caju, polpa, congelada;89,8;37;153;0,5;0,2;NA;9,4;0,8;0,2;1;7;187;0,05;10;0,1;4;88;0,07;0,1;NA;22;11;Tr;0,02;Tr;2,25;119,7
Frutas e derivados;188;Caju, suco concentrado, envasado;88,4;45;189;0,4;0,2;NA;10,7;0,6;0,3;1;8;188;0,06;11;0,1;45;107;0,04;0,1;NA;10;5;Tr;0,03;Tr;Tr;138,7
Frutas e derivados;189;Caqui, chocolate, cru;79,7;71;299;0,4;0,1;NA;19,3;6,5;0,5;18;9;189;0,39;18;0,1;2;164;Tr;0,2;NA;;;Tr;Tr;0,03;Tr;29,6
Frutas e derivados;190;Carambola, crua;87,1;46;191;0,9;0,2;NA;11,5;2,0;0,4;5;7;190;0,13;11;0,2;4;133;0,08;0,2;NA;;;0,12;Tr;Tr;Tr;60,9
